species;plastome;ITS;matK;ndhF;rbcL;atpB.rbcL;ndhA_intron;rpl16_intron;rpl32.trnL;rps16_intron;trnL.F
Pedicularis bella;NA;JN252737;KT022532;NA;KT022708;NA;NA;NA;NA;JN252818;KT022885
Pedicularis bidentata;NA;JN252738;NA;NA;NA;NA;NA;NA;NA;JN252819;NA
Pedicularis bietii;NA;JN120028;JN120036;NA;JN120042;NA;NA;NA;NA;NA;KF277611
Pedicularis brachystachys;NA;KY069308;HG423903;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis bracteosa;NA;MG218328;NA;NA;MG222312;NA;NA;NA;NA;NA;NA
Pedicularis brevilabris;NA;JN252739;JF955080;NA;JF942968;NA;NA;NA;NA;JN252820;AY881105
Pedicularis canadensis;NA;HG424091;HG423909;NA;KP643854;NA;NA;NA;NA;NA;NA
Pedicularis capitata;NA;HG424092;KC475197;NA;KC483354;NA;NA;NA;NA;NA;GQ245218
Pedicularis cephalantha;NA;HG424094;JF955084;NA;JF942970;NA;NA;NA;NA;JN252821;KF277613
Pedicularis cernua;NA;KF277529;KT022537;NA;KT022709;NA;NA;NA;NA;NA;KF277614
Pedicularis chamissonis;NA;AY949631;NA;NA;NA;D88098;NA;NA;NA;NA;NA
Pedicularis cheilanthifolia;NA;JN252742;KT280236;NA;KT280131;NA;NA;NA;NA;JN252822;AY881133
Pedicularis chenocephala;NA;HG424095;KT022542;NA;KT022715;NA;NA;NA;NA;JN252823;KT022890
Pedicularis chinensis;NA;KT022435;KT280237;NA;KT280132;NA;NA;NA;NA;NA;DQ839445
Pedicularis cinerascens;NA;HG424096;JF955089;NA;JF942977;NA;NA;NA;NA;JN252824;AY881106
Pedicularis clarkei;NA;JF977497;JF955090;NA;JF942979;NA;NA;NA;NA;NA;KF277618
Pedicularis comosa;NA;KY979621;NA;NA;NA;NA;NA;NA;KY979716;NA;NA
Pedicularis comptoniifolia;NA;JF977500;JF955092;NA;JF942982;NA;NA;NA;NA;NA;KF277619
Pedicularis confertiflora;NA;HG424099;JX091329;NA;JF942987;NA;NA;NA;NA;JN252825;AY881107
Pedicularis confluens;NA;KF277532;KT022545;NA;KT022718;NA;NA;NA;NA;NA;KF277621
Pedicularis contorta;NA;HG424100;NA;NA;MG222805;NA;NA;NA;NA;NA;NA
Pedicularis coronata;NA;NA;NA;NA;AF206803;NA;NA;NA;NA;NA;NA
Pedicularis corydaloides;NA;KT022437;KT022547;NA;KT022719;NA;NA;NA;NA;NA;KT022894
Pedicularis cranolopha;NA;JF977509;JF955101;NA;KT280133;NA;NA;NA;NA;NA;KF277623
Pedicularis crenata;NA;JF977516;JF955107;NA;JF942999;NA;NA;NA;NA;NA;KF277624
Pedicularis crenularis;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;KT022895
Pedicularis crenulata;NA;HG424103;HG423921;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis cristatella;NA;JN252747;KT022549;NA;KT022721;NA;NA;NA;NA;JN252827;KF277625
Pedicularis croizatiana;NA;JN252748;NA;NA;KT022722;NA;NA;NA;NA;JN252828;KF277626
Pedicularis cryptantha;NA;KT022438;KT022552;NA;KT022723;NA;NA;NA;NA;NA;KT022896
Pedicularis cyathophylla;NA;KP986208;JF955111;NA;KF011751;NA;NA;NA;NA;NA;KC733330
Pedicularis cyathophylloides;NA;JN252750;JF955118;NA;JF943009;NA;NA;NA;NA;JN252829;KC733333
Pedicularis cyclorhyncha;NA;KF277536;KT022553;NA;KT022728;NA;NA;NA;NA;NA;KT022899
Pedicularis cymbalaria;NA;JF977528;JF955120;NA;JF943012;NA;NA;NA;NA;NA;KF277629
Pedicularis cystopteridifolia;NA;HG424106;HG423924;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis dasyantha;NA;HG424107;HG423925;NA;KT022729;NA;NA;NA;NA;NA;KF277630
Pedicularis dasystachys;NA;KY069311;HG423927;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis daucifolia;NA;JN252751;NA;NA;NA;NA;NA;NA;NA;JN252830;NA
Pedicularis davidii;NA;JN252752;JF955126;NA;JF943016;NA;NA;NA;NA;JN252831;KF277631
Pedicularis debilis;NA;JF977534;JF955129;NA;KT022731;NA;NA;NA;NA;JN252832;KT022900
Pedicularis decora;NA;JF977537;JF955130;NA;JF943020;NA;NA;NA;NA;NA;KF277634
Pedicularis decorissima;NA;HG424111;JF955132;NA;JF943023;NA;NA;NA;NA;JN252833;KF277635
Pedicularis deltoidea;NA;JF977541;JF955135;NA;JF943025;NA;NA;NA;NA;NA;KF277637
Pedicularis densiflora;NA;KR699634;KR699639;NA;KR078262;NA;NA;NA;NA;NA;KR699636
Pedicularis densispica;NA;KC480379;JF955139;NA;KT022733;NA;NA;EU259204;NA;JN252834;AY881108
Pedicularis dichotoma;NA;JF977550;JF955143;NA;JF943032;NA;NA;NA;NA;JN252835;DQ839435
Pedicularis diffusa;NA;KT022447;KT022563;NA;KT022735;NA;NA;NA;NA;JN252836;KT022904
Pedicularis dissectifolia;NA;JF977553;JF955145;NA;JF943036;NA;NA;NA;NA;NA;KF277641
Pedicularis dolichantha;NA;KF277540;KT022564;NA;KT022737;NA;NA;NA;NA;NA;KF277642
Pedicularis dolichocymba;NA;JN252755;JF955148;NA;JF943038;NA;NA;NA;NA;JN252837;KC733347
Pedicularis dolichoglossa;NA;JN252756;NA;NA;NA;NA;NA;NA;NA;JN252838;KF277643
Pedicularis dolichorrhiza;NA;HG424114;HG423933;NA;KT022739;NA;NA;NA;NA;NA;KT022906
Pedicularis dubia;NA;NA;HG423934;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis duclouxii;NA;AY155299;NA;NA;NA;NA;NA;NA;NA;NA;AY881109
Pedicularis dulongensis;NA;KT022449;KT022568;NA;KT022741;NA;NA;NA;NA;NA;KT022907
Pedicularis dunniana;NA;JF977557;JF955150;NA;JF943041;NA;NA;NA;NA;NA;KF277644
Pedicularis elata;NA;KY069312;KT022569;NA;KT022742;NA;NA;NA;NA;NA;KF277730
Pedicularis elwesii;NA;JN252757;JF955152;NA;KT022743;NA;NA;NA;NA;JN252839;KT022908
Pedicularis eriophora;NA;HG424118;HG423937;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis exaltata;NA;KY979600;NA;NA;NA;NA;NA;NA;KY979721;NA;NA
Pedicularis fargesii;NA;KT022451;KT022571;NA;KT022744;NA;NA;NA;NA;NA;KT022909
Pedicularis fengii;NA;JF977565;JF955157;NA;JF943047;NA;NA;NA;NA;NA;KT022910
Pedicularis fetisowii;NA;KY069295;NA;NA;KT022745;NA;NA;NA;NA;JN252840;KF277647
Pedicularis filicifolia;NA;KT022452;KT022572;NA;KT022746;NA;NA;NA;NA;NA;KT022911
Pedicularis filicula;NA;KF011709;KT022573;NA;KF011753;NA;NA;NA;NA;NA;KC733348
Pedicularis fissa;NA;HG424120;HG423939;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis flaccida;NA;KF277544;KT022574;NA;KT022748;NA;NA;NA;NA;NA;KF277648
Pedicularis flammea;NA;HG424121;HG423940;NA;KC483363;NA;NA;NA;NA;NA;KF277649
Pedicularis flava;NA;HG424122;HG423941;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis fletcherii;NA;KT022454;KT022577;NA;KT022753;NA;NA;NA;NA;NA;KT022913
Pedicularis flexuosa;NA;AY949687;KT022580;NA;KT022754;NA;NA;NA;NA;NA;KT022914
Pedicularis floribunda;NA;JF977566;JF955160;NA;JF943049;NA;NA;NA;NA;NA;KF277651
Pedicularis foliosa;NA;KC480380;AF489959;AF123689;AF026836;NA;NA;NA;NA;NA;KU974021
Pedicularis furbishiae;NA;KJ735493;NA;NA;MG221636;NA;NA;NA;NA;NA;NA
Pedicularis galeata;NA;NA;KT022581;NA;KT022755;NA;NA;NA;NA;NA;NA
Pedicularis gammieana;NA;NA;KT022583;NA;KT022756;NA;NA;NA;NA;NA;NA
Pedicularis geosiphon;NA;JN252760;NA;NA;NA;NA;NA;NA;NA;JN252841;NA
Pedicularis glabrescens;NA;HG424127;JF955162;NA;JF943052;NA;NA;NA;NA;JN252842;DQ839433
Pedicularis globifera;NA;AY155277;KT022584;NA;KT022758;NA;NA;NA;NA;NA;AY881110
Pedicularis gloriosa;NA;AY949647;AB280525;NA;NA;AB280479;NA;AB280504;NA;NA;AB280440
Pedicularis gongshanensis;NA;KT022457;KT022585;NA;KT022759;NA;NA;NA;NA;NA;KT022916
Pedicularis gracilicaulis;NA;KF277547;NA;NA;NA;NA;NA;NA;NA;NA;KF277654
Pedicularis gracilis;NA;AY949657;JF955167;NA;JF943056;NA;NA;NA;NA;NA;KF277655
Pedicularis gracilituba;NA;KT022458;KT022586;NA;KT022760;NA;NA;NA;NA;NA;KT022917
Pedicularis grandiflora;NA;HG424128;AB280530;NA;KT022762;AB280487;NA;AB280509;NA;NA;AB280445
Pedicularis grayi;NA;HG424129;HG423948;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis groenlandica;NA;HG424130;HG423949;HQ384818;HQ384873;NA;NA;NA;NA;HQ385148;HQ412930
Pedicularis gruina;NA;JF977582;KC840063;NA;KC840112;NA;NA;NA;NA;NA;KF277657
Pedicularis gyirongensis;NA;KF277550;KT022589;NA;KT022763;NA;NA;NA;NA;NA;KF277658
Pedicularis gyroflexa;NA;HG424131;NA;NA;HG417020;NA;NA;NA;NA;NA;NA
Pedicularis gyrorhyncha;NA;JN252762;KC542174;NA;KT022764;NA;NA;NA;NA;JN252843;AY881111
Pedicularis hacquetii;NA;KY979616;NA;NA;NA;NA;NA;NA;KY979715;NA;NA
Pedicularis hallaisanensis;MG770330;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis hemsleyana;NA;JN252763;NA;NA;NA;NA;NA;NA;NA;JN252844;NA
Pedicularis henryi;NA;KF277592;KT022591;NA;KT022765;NA;NA;NA;NA;NA;KF277660
Pedicularis hirsuta;NA;HG424132;KC475211;NA;KT022766;NA;NA;NA;NA;NA;KF277661
Pedicularis inaequilobata;NA;KT022461;KT022593;NA;KT022767;NA;NA;NA;NA;NA;KT022920
Pedicularis incarnata;NA;KY069313;HG423952;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis inconspicua;NA;HG424134;HG423953;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis ingens;NA;HG424135;JX091330;NA;JF943070;NA;NA;NA;NA;JN252845;KF277663
Pedicularis insignis;NA;KT022462;KT022594;NA;KT022768;NA;NA;NA;NA;NA;KT022921
Pedicularis integrifolia;NA;JN252765;JF955182;NA;JF943071;NA;NA;NA;NA;JN252846;KF277664
Pedicularis interior;NA;MG218043;NA;NA;MG221956;NA;NA;NA;NA;NA;GQ245224
Pedicularis interrupta;NA;HG424137;HG423956;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis ishidoyana;KU170194;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis iwatensis;NA;AY949654;AB280514;NA;NA;AB280471;NA;AB280493;NA;NA;AB280429
Pedicularis julica;NA;HG424138;KC542175;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis kangtingensis;NA;KF277553;KT022595;NA;KT022769;NA;NA;NA;NA;NA;KF277665
Pedicularis kansuensis;NA;JN252766;JN120030;NA;KT022770;NA;NA;NA;KX180107;JN252847;AY881112
Pedicularis karatavica;NA;HG424140;HG423960;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis korolkowii;NA;HG424143;HG423963;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis krylovii;NA;HG424144;HG423964;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis kusnetzovii;NA;HG424145;HG423965;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis labordei;NA;JF977597;JF955192;NA;JF943084;NA;NA;NA;NA;NA;KF277666
Pedicularis labradorica;NA;HG424146;HG423966;NA;KC483379;NA;NA;NA;NA;NA;GQ245225
Pedicularis lachnoglossa;NA;AY949658;JF955198;NA;JF943089;NA;NA;NA;NA;NA;AY881113
Pedicularis lanata;NA;HG424147;KC475227;NA;KC483386;NA;NA;NA;NA;NA;GQ245226
Pedicularis lanceolata;NA;HG424149;HG423968;NA;MG222671;NA;NA;NA;NA;NA;NA
Pedicularis langsdorffii;NA;HG424150;HG423969;NA;KC483396;NA;NA;NA;NA;NA;DQ860579
Pedicularis lapponica;NA;HG424151;HG423970;NA;KC483404;NA;NA;NA;NA;NA;LT160694
Pedicularis lasiophrys;NA;AY949662;KR707755;NA;KR707777;NA;NA;NA;NA;JN252848;KF277668
Pedicularis lasiostachys;NA;HG424152;HG423971;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis latituba;NA;JN252767;JF955201;NA;JF943091;NA;NA;NA;NA;JN252849;KF277669
Pedicularis laxiflora;NA;AY155313;NA;NA;NA;NA;NA;NA;NA;NA;AY881114
Pedicularis lecomtei;NA;JF977611;JF955203;NA;JF943094;NA;NA;NA;NA;NA;KF277670
Pedicularis legendrei;NA;KF277555;KT022601;NA;KT022775;NA;NA;NA;NA;NA;KF277671
Pedicularis leptosiphon;NA;KF277556;KT022602;NA;KT022776;NA;NA;NA;NA;NA;KF277672
Pedicularis likiangensis;NA;JN252768;JF955205;NA;KT022777;NA;NA;NA;NA;JN252850;AY881115
Pedicularis lineata;NA;AY949664;KT022604;NA;KT022778;NA;NA;NA;NA;NA;KF277674
Pedicularis longicaulis;NA;JF977617;JF955210;NA;JF943101;NA;NA;NA;NA;NA;AY881116
Pedicularis longiflora;NA;KY069293;KT280239;NA;KT280134;NA;NA;NA;NA;NA;FJ001768
Pedicularis longipes;NA;HG424154;JF955217;NA;JF943108;NA;NA;NA;NA;NA;KF277677
Pedicularis ludwigii;NA;HG424155;HG423974;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis lutescens;NA;JF977629;JF955222;NA;KT022779;NA;NA;NA;NA;NA;AY881117
Pedicularis lyrata;NA;JN252770;JF955226;NA;JF943120;NA;NA;NA;NA;JN252852;KF277679
Pedicularis macilenta;NA;KF277558;KT022606;NA;KT022780;NA;NA;NA;NA;NA;KF277680
Pedicularis macrochila;NA;HG424156;HG423975;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis macrorhyncha;NA;JF977639;JF955230;NA;JF943122;NA;NA;NA;NA;NA;KF277681
Pedicularis macrosiphon;NA;JN252771;JF955233;NA;JF943123;NA;NA;NA;NA;JN252853;KF277682
Pedicularis mariae;NA;HG424158;HG423977;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis maximowiczii;NA;HG424159;HG423978;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis maxonii;NA;JF977643;JF955236;NA;JF943127;NA;NA;NA;NA;NA;KF277683
Pedicularis mayana;NA;KR707790;KR707759;NA;KR707773;NA;NA;NA;NA;NA;KR707803
Pedicularis megalantha;NA;JF977646;JF955237;NA;JF943129;NA;NA;NA;NA;NA;KT022927
Pedicularis megalochila;NA;NA;KT022607;NA;KT022781;NA;NA;NA;NA;NA;NA
Pedicularis membranacea;NA;DQ839427;NA;NA;NA;NA;NA;NA;NA;NA;DQ839444
Pedicularis merrilliana;NA;HG424160;NA;NA;NA;NA;NA;NA;NA;JN252854;NA
Pedicularis metaszetschuanica;NA;JN252773;KT022608;NA;KT022782;NA;NA;NA;NA;JN252855;KF277685
Pedicularis micrantha;NA;KR707791;KR707766;NA;KR707783;NA;NA;NA;NA;NA;KF277706
Pedicularis microchila;NA;HG424162;KT022609;NA;KT022783;NA;NA;NA;NA;JN252856;AY881118
Pedicularis mollis;NA;AY949671;NA;NA;KT022784;NA;NA;NA;NA;JN252857;KF277687
Pedicularis moupinensis;NA;JN252775;KT022610;NA;KT022785;NA;NA;NA;NA;JN252858;KT022928
Pedicularis muscicola;NA;KF277563;KT022611;NA;KT022786;NA;NA;NA;NA;NA;KF277689
Pedicularis muscoides;NA;AY949635;KT022612;NA;KT022787;NA;NA;NA;NA;JN252859;KT022929
Pedicularis mussotii;NA;JN252777;JF955240;NA;JF943130;NA;NA;NA;NA;JN252860;AY881119
Pedicularis mychophila;NA;AY155318;KT022613;NA;KT022788;NA;NA;NA;NA;NA;NA
Pedicularis myriophylla;NA;KY069316;HG423984;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis nasturtiifolia;NA;KF277565;KT022614;NA;KT022789;NA;NA;NA;NA;NA;KF277691
Pedicularis nasuta;NA;HG424166;HG423985;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis nigra;NA;JF977652;JF955244;NA;JF943135;NA;NA;NA;NA;NA;KF277692
Pedicularis nipponica;NA;AY949663;AB280520;NA;NA;AB280472;NA;AB280495;NA;NA;AB280436
Pedicularis obliquigaleata;NA;KF277566;KT022615;NA;KT022790;NA;NA;NA;NA;NA;KF277693
Pedicularis ochiaiana;NA;NA;AB280526;NA;NA;AB280484;NA;AB280506;NA;NA;AB280945
Pedicularis oederi;NA;KY069324;MF158645;NA;JF943139;NA;NA;NA;NA;JN252861;KT022933
Pedicularis oliveriana;NA;HG424169;KT022616;NA;KT022792;NA;NA;NA;NA;NA;KT022934
Pedicularis omiiana;NA;DQ839426;NA;NA;NA;NA;NA;NA;NA;NA;DQ839442
Pedicularis ornithorhyncha;NA;HG424170;HG423989;NA;MG223642;NA;NA;NA;NA;NA;NA
Pedicularis orthocoryne;NA;JF977658;JF955250;NA;JF943141;NA;NA;NA;NA;NA;KF277698
Pedicularis oxycarpa;NA;HG424171;JF955255;NA;KC840111;NA;NA;NA;NA;JN252862;KF277699
Pedicularis oxyrhyncha;NA;AY949651;NA;NA;NA;NA;NA;NA;NA;NA;KF277700
Pedicularis paiana;NA;KT022472;KT022617;NA;KT022793;NA;NA;NA;NA;NA;KT022936
Pedicularis pallasii;NA;NA;HG423991;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis palustris;NA;KX165716;JN896186;NA;MG223670;NA;NA;NA;NA;NA;NA
Pedicularis pantlingii;NA;KT022473;KT022618;NA;KT022794;NA;NA;NA;NA;NA;NA
Pedicularis parryi;NA;HG424174;HG423993;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis parviflora;NA;HG424175;HG423994;NA;MG222603;NA;NA;NA;NA;NA;DQ860581
Pedicularis pectinatiformis;NA;HG424176;KT022619;NA;KT022795;NA;NA;NA;NA;JN252863;NA
Pedicularis peduncularis;NA;HG424177;HG423996;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis pennellii;NA;AY949655;HG423997;NA;MG224677;NA;NA;NA;NA;NA;GQ245234
Pedicularis pentagona;NA;KF277569;KT022620;NA;KT022796;NA;NA;NA;NA;NA;NA
Pedicularis petelotii;NA;KF277570;KT022621;NA;KT022797;NA;NA;NA;NA;NA;KF277702
Pedicularis pheulpinii;NA;HG424179;KT022622;NA;KT022798;NA;NA;NA;NA;JN252864;AY881120
Pedicularis physocalyx;NA;KY069319;HG423999;NA;KT022799;NA;NA;NA;NA;NA;NA
Pedicularis pilostachya;NA;HG424181;KT022624;NA;KT022800;NA;NA;NA;NA;JN252865;KF277704
Pedicularis pinetorum;NA;KT022475;KT022625;NA;KT022801;NA;NA;NA;NA;NA;KT022937
Pedicularis plicata;NA;JN252784;KT022627;NA;KT022803;NA;NA;NA;NA;JN252866;KT022939
Pedicularis polyodonta;NA;JN252785;NA;NA;NA;NA;NA;NA;NA;JN252867;NA
Pedicularis popovii;NA;HG424183;HG424002;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis praeruptorum;NA;KT022478;KR707765;NA;KR707787;NA;NA;NA;NA;NA;KT022940
Pedicularis proboscidea;NA;HG424184;HG424003;NA;KT022805;NA;NA;NA;NA;NA;NA
Pedicularis procera;NA;HM561877;HG424004;NA;NA;HM596775;NA;NA;NA;NA;NA
Pedicularis przewalskii;NA;KP986234;JF955257;NA;JF943149;NA;NA;NA;NA;JN252868;KC733344
Pedicularis pseudomelampyriflora;NA;JN252788;JF955261;NA;JF943153;NA;NA;NA;NA;JN252869;KF277708
Pedicularis pseudoversicolor;NA;JF977676;JF955266;NA;JF943158;NA;NA;NA;NA;NA;KF277709
Pedicularis pubiflora;NA;HG424186;HG424005;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis pulchra;NA;HG424187;HG424006;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis pycnantha;NA;HG424188;HG424007;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis pygmaea;NA;KF277575;KR699640;NA;KR078263;NA;NA;NA;NA;NA;KF277710
Pedicularis pyrenaica;NA;HG424189;HG424008;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis racemosa;NA;KJ735504;KX677642;NA;KX679103;NA;NA;NA;NA;NA;NA
Pedicularis ramosissima;NA;KF277576;KT022630;NA;KT022807;NA;NA;NA;NA;NA;KF277711
Pedicularis recurva;NA;JN252789;NA;NA;NA;NA;NA;NA;NA;JN252870;NA
Pedicularis remotiloba;NA;JN252790;KT022631;NA;KT022808;NA;NA;NA;NA;JN252871;KT022941
Pedicularis resupinata;NA;KY514253;AB280527;NA;JF943160;AB110927;NA;AB280510;NA;NA;AB110917
Pedicularis rex;NA;JN252791;JF955275;NA;KF011760;JQ910072;NA;JQ910120;NA;JN252872;KT022943
Pedicularis rhinanthoides;NA;AY949691;JF955279;NA;KT280135;NA;NA;NA;NA;JN252873;KT022947
Pedicularis rhizomatosa;NA;JN252793;KT022638;NA;KT022817;NA;NA;NA;NA;JN252874;KT022949
Pedicularis rhodotricha;NA;AY949674;JF955281;NA;JF943177;NA;NA;NA;NA;JN252875;KF277713
Pedicularis rhynchodonta;NA;JF977697;JF955289;NA;JF943182;NA;NA;NA;NA;JN252876;AY881122
Pedicularis rhynchotricha;NA;KF277577;KT022639;NA;KT022818;NA;NA;NA;NA;NA;KF277715
Pedicularis rigida;NA;JF977701;JF955292;NA;JF943186;NA;NA;NA;NA;NA;KF277716
Pedicularis rizhaoensis;NA;JF977704;JF955296;NA;JF943187;NA;NA;NA;NA;NA;KF277717
Pedicularis roylei;NA;JF977706;JF955297;NA;KT022821;NA;NA;NA;NA;JN252877;AY881123
Pedicularis rubens;NA;HG424200;HG424018;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis rudis;NA;JN252795;KT022643;NA;KT022823;NA;NA;NA;NA;JN252878;AY881124
Pedicularis rupicola;NA;JF977709;JF955305;NA;KT022824;NA;NA;NA;NA;JN252879;AY881125
Pedicularis salicifolia;NA;KF277579;KT022645;NA;KT022825;NA;NA;NA;NA;NA;KF277721
Pedicularis salviiflora;NA;JN252796;JF955306;NA;JF943199;NA;NA;NA;NA;JN252880;AY881126
Pedicularis sceptrum-carolinum;NA;KY514255;AB280528;NA;KR078264;AB280486;NA;AB280508;NA;KT182433;AB280444
Pedicularis schistostegia;NA;AY949704;AB280532;NA;NA;AB110929;NA;AB280512;NA;NA;AB110919
Pedicularis schizorrhyncha;NA;HG424203;KT022646;NA;KT022826;NA;NA;NA;NA;NA;KT022955
Pedicularis schugnana;NA;HG424204;HG424022;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis scolopax;NA;AY949670;KT022647;NA;KT022827;NA;NA;NA;NA;JN252881;KF277723
Pedicularis semenowii;NA;HG424208;HG424026;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis semibarbata;NA;HM561876;NA;NA;NA;HM596778;NA;NA;NA;NA;NA
Pedicularis semitorta;NA;JN252797;KT280241;NA;KT280136;NA;NA;NA;NA;JN252882;KF277724
Pedicularis sherriffii;NA;GU444016;KT022649;NA;KT022829;NA;NA;NA;NA;NA;KT022956
Pedicularis sibirica;NA;HG424210;HG424028;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis sigmoidea;NA;JF977718;JF955309;NA;KT022830;NA;NA;NA;NA;NA;KT022957
Pedicularis sima;NA;KT022494;KT022652;NA;KT022832;NA;NA;NA;NA;NA;KT022959
Pedicularis siphonantha;NA;JN252798;JF955314;NA;KT022833;NA;NA;NA;NA;JN252883;FJ001794
Pedicularis smithiana;NA;JN252799;KT022654;NA;KT022834;NA;NA;NA;NA;JN252884;KF277729
Pedicularis sorbifolia;NA;JF977731;JF955323;NA;JF943215;NA;NA;NA;NA;NA;KF277731
Pedicularis souliei;NA;NA;NA;NA;NA;NA;NA;NA;NA;JN252885;NA
Pedicularis sphaerantha;NA;JN252800;KT022668;NA;KT022847;NA;NA;NA;NA;JN252886;DQ839430
Pedicularis spicata;NA;KY514246;KT022669;NA;KT022848;NA;NA;NA;NA;NA;AY881128
Pedicularis steiningeri;NA;HG424214;NA;NA;NA;NA;NA;NA;NA;JN252887;NA
Pedicularis stenocorys;NA;KF277585;KT022670;NA;KT022849;NA;NA;NA;NA;NA;KF277734
Pedicularis stewardii;NA;KT022507;KT022671;NA;KT022850;NA;NA;NA;NA;NA;KT022976
Pedicularis striata;NA;KF277587;KT022672;NA;KT022851;NA;NA;NA;NA;NA;KF277736
Pedicularis strobilacea;NA;KR707794;KR707760;NA;KR707780;NA;NA;NA;NA;NA;KT022977
Pedicularis stylosa;NA;KT022509;KT022674;NA;KT022853;NA;NA;NA;NA;NA;KT022978
Pedicularis sudetica;NA;KJ735506;HG424038;NA;MG223283;NA;NA;NA;NA;NA;GQ245237
Pedicularis superba;NA;KP986202;JF955330;NA;KF011787;NA;NA;NA;NA;JN252888;KC733342
Pedicularis sylvatica;NA;HG424221;AF531781;NA;KM360920;NA;NA;NA;NA;NA;NA
Pedicularis szetschuanica;NA;HG424222;KT280242;NA;KT280137;NA;NA;NA;NA;JN252889;KF277739
Pedicularis tachanensis;NA;JF977744;JF955333;NA;JF943227;NA;NA;NA;NA;NA;KF277740
Pedicularis talassica;NA;HG424223;HG424041;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis tantalorhyncha;NA;KT022510;KT022676;NA;KT022855;NA;NA;NA;NA;NA;KT022979
Pedicularis tatarinowii;NA;KF277590;KT022677;NA;KT022856;NA;NA;NA;NA;NA;AY881129
Pedicularis tatsienensis;NA;AY949660;KT022678;NA;KT022857;NA;NA;NA;NA;JN252890;AY881130
Pedicularis tayloriana;NA;KT022512;KT022679;NA;KT022858;NA;NA;NA;NA;NA;KT022981
Pedicularis tenacifolia;NA;KF277591;KR707757;NA;KR707775;NA;NA;NA;NA;NA;KF277743
Pedicularis tenuisecta;NA;JF977750;JF955337;NA;JF943230;NA;NA;NA;NA;NA;KF277744
Pedicularis ternata;NA;AY949694;KT022680;NA;KT022859;NA;NA;NA;NA;NA;KF277745
Pedicularis thamnophila;NA;JN252804;JF955340;NA;KF011794;JQ910071;NA;JQ910119;NA;JN252891;KC733282
Pedicularis tianschanica;NA;HG424225;HG424043;NA;NA;NA;NA;NA;NA;NA;NA
Pedicularis tibetica;NA;JF977759;JF955347;NA;JF943242;NA;NA;NA;NA;NA;KF277746
Pedicularis tomentosa;NA;KF277594;KT022682;NA;KT022861;NA;NA;NA;NA;NA;KF277747
Pedicularis tongolensis;NA;HG424226;JF955353;NA;JF943247;NA;NA;NA;NA;NA;KF277748
Pedicularis torta;NA;HG424227;KT022683;NA;KT022862;NA;NA;NA;NA;NA;KF277749
Pedicularis triangularidens;NA;KF277597;KT022685;NA;KT022864;NA;NA;NA;NA;NA;KF277751
Pedicularis trichocymba;NA;AY949696;KT022686;NA;KT022865;NA;NA;NA;NA;JN252892;KF277752
Pedicularis trichoglossa;NA;JN252805;JF955354;NA;KT022866;NA;NA;NA;NA;JN252893;AY881131
Pedicularis trichomata;NA;KF277599;KT022687;NA;KT022867;NA;NA;NA;NA;NA;KF277754
Pedicularis tricolor;NA;JN252806;JF955358;NA;JF943250;NA;NA;NA;NA;JN252894;KF277755
